RSSI0 OMNI,RSSI1 OMNI,CINR0 OMNI,CINR1 OMNI,RSSI0 PARABOLIC,RSSI1 PARABOLIC,CINR0 PARABOLIC,CINR1 PARABOLIC,Radio Distance Clean,Radio Distance Noise,GPS Distance Clean,GPS Distance Noise,Longitude,Latitude,Drone Speed,Drone Climb,Drone Altitude,Barometer Altitude,Home to drone bearing,Home to drone elevation,Accelerometer,GPS Spoofing
-81,-81,24,24,-65,-65,40,41,4233.528599,4168.184535,4233.528599,4237.040979,34.787774,31.970353,13.344349,-0.046428,44.221036,44.050371,168.902244,0.595967,0.019273,0
-82,-81,23,24,-65,-65,40,40,4233.149894,4217.965623,4233.149894,4227.04609,34.787801,31.970449,13.363622,-0.046495,44.247387,44.089066,168.721606,0.595354,0.019273,0
-81,-81,22,24,-66,-66,38,39,4232.81283,4117.419513,4232.81283,4230.347786,34.787938,31.970442,13.382895,-0.046562,44.23514,43.888849,168.540676,0.594735,0.019273,0
-81,-81,24,23,-65,-64,40,40,4232.5176,4243.212161,4232.5176,4232.162892,34.788115,31.970456,13.402168,-0.046629,44.394823,43.886951,168.359458,0.594109,0.019273,0
-81,-82,24,24,-65,-65,41,40,4232.264396,4217.064067,4232.264396,4238.801989,34.78816,31.970403,13.421441,-0.046696,44.525332,43.789346,168.177957,0.593476,0.019273,0
-81,-81,24,24,-65,-64,40,40,4232.053409,4219.100917,4232.053409,4228.75608,34.788232,31.970508,13.440714,-0.046763,44.183245,43.709708,167.996174,0.592837,0.019273,0
-81,-81,24,24,-66,-64,41,39,4231.884829,4211.883459,4231.884829,4228.039531,34.7885,31.970563,13.459987,-0.04683,44.037915,43.904877,167.814115,0.592191,0.019273,0
-81,-81,25,23,-65,-65,40,40,4231.758843,4313.940219,4231.758843,4238.03304,34.788659,31.9705,13.47926,-0.046897,42.958494,43.501556,167.631782,0.591538,0.019273,0
-82,-79,24,24,-65,-65,40,41,4231.675641,4121.433134,4231.675641,4232.089116,34.788812,31.970583,13.498533,-0.046965,43.924864,43.412239,167.449179,0.590878,0.019273,0
-81,-81,24,25,-65,-65,43,40,4231.635408,4280.117337,4231.635408,4235.744422,34.788928,31.970572,13.517806,-0.047032,43.970508,43.567486,167.26631,0.590212,0.019273,0
-80,-80,24,24,-65,-65,40,42,4231.638332,4225.076954,4231.638332,4232.416795,34.78902,31.97062,13.537079,-0.047099,43.20184,43.754634,167.083179,0.58954,0.019273,0
-81,-81,25,22,-65,-65,40,40,4231.684595,4331.82143,4231.684595,4226.153906,34.789221,31.970717,13.556352,-0.047166,43.776255,43.551102,166.899789,0.58886,0.019273,0
-81,-80,24,24,-65,-65,41,41,4231.774382,4242.242351,4231.774382,4230.869584,34.7894,31.970709,13.575625,-0.047233,44.160005,43.458239,166.716144,0.588174,0.019273,0
-81,-81,24,24,-64,-65,38,41,4231.907876,4253.983914,4231.907876,4236.698795,34.789506,31.970677,13.594898,-0.0473,42.909945,43.280466,166.532248,0.587481,0.019273,0
-81,-83,24,24,-65,-65,39,40,4232.085258,4228.046444,4232.085258,4235.472619,34.789608,31.970709,13.614171,-0.047367,43.386965,43.385717,166.348105,0.586781,0.019273,0
-81,-81,24,24,-65,-66,40,40,4232.306707,4188.581567,4232.306707,4231.818943,34.789738,31.97077,13.633444,-0.047434,43.971515,43.247277,166.163718,0.586075,0.019273,0
-81,-81,24,23,-64,-65,40,40,4232.572405,4203.414686,4232.572405,4225.984635,34.789966,31.970872,13.652717,-0.047501,43.249215,43.239661,165.979092,0.585362,0.019273,0
-81,-82,24,24,-65,-65,40,39,4232.882527,4148.03018,4232.882527,4239.965366,34.790079,31.970766,13.67199,-0.047568,42.98011,43.306444,165.79423,0.584642,0.019273,0
-81,-82,24,24,-65,-65,40,40,4233.237252,4140.686547,4233.237252,4236.255215,34.790171,31.970821,13.691263,-0.047635,43.313634,43.051167,165.609137,0.583915,0.019273,0
-81,-81,24,24,-66,-66,40,40,4233.636754,4226.37448,4233.636754,4235.091874,34.790337,31.970868,13.710536,-0.047702,42.934697,42.919164,165.423816,0.583182,0.019273,0
-81,-82,23,23,-65,-66,40,41,4234.081209,4227.379966,4234.081209,4240.908974,34.79052,31.970855,13.729809,-0.047769,42.935162,43.138186,165.238272,0.582442,0.019273,0
-80,-81,24,24,-66,-65,41,40,4234.570788,4283.275701,4234.570788,4241.922824,34.790609,31.970865,13.749082,-0.047836,42.736152,43.004405,165.052508,0.581695,0.019273,0
-81,-81,24,24,-65,-65,40,41,4235.105665,4199.015488,4235.105665,4240.987883,34.790701,31.970895,13.768355,-0.047903,42.280607,42.934875,164.866528,0.580942,0.019273,0
-81,-81,24,24,-65,-65,40,41,4235.68601,4308.571375,4235.68601,4238.735277,34.790955,31.970974,13.787628,-0.04797,43.715558,42.724134,164.680337,0.580182,0.019273,0
-81,-81,24,24,-66,-65,40,39,4236.311992,4262.713825,4236.311992,4237.888401,34.791007,31.970994,13.806901,-0.048037,42.63132,42.795543,164.493939,0.579415,0.019273,0
-81,-81,24,24,-65,-64,40,39,4236.983778,4213.588446,4236.983778,4235.388543,34.791221,31.971068,13.826174,-0.048104,42.296761,42.70676,164.307338,0.578641,0.019273,0
-81,-80,25,24,-65,-65,40,41,4237.701537,4266.251321,4237.701537,4237.600423,34.791367,31.971083,13.845447,-0.048171,42.674869,42.785695,164.120538,0.577861,0.019273,0
-81,-82,24,25,-65,-65,40,40,4238.465432,4149.756909,4238.465432,4235.45167,34.791501,31.971135,13.86472,-0.048239,42.38806,42.793614,163.933543,0.577074,0.019273,0
-81,-81,25,25,-65,-64,40,40,4239.275629,4240.100832,4239.275629,4236.618576,34.791648,31.971161,13.883993,-0.048306,42.786032,42.532675,163.746358,0.57628,0.019273,0
-82,-81,24,24,-65,-64,40,41,4240.132289,4222.274445,4240.132289,4236.962354,34.791755,31.971184,13.903265,-0.048373,42.067344,42.572475,163.558986,0.57548,0.019273,0
-80,-81,24,24,-65,-64,40,39,4241.035575,4165.192735,4241.035575,4238.994044,34.791955,31.971216,13.922538,-0.04844,41.879134,42.589775,163.371433,0.574673,0.019273,0
-81,-81,25,24,-65,-66,40,40,4241.985645,4162.698409,4241.985645,4232.244346,34.792129,31.971323,13.941811,-0.048507,42.880339,42.247901,163.183702,0.573859,0.019273,0
-81,-82,23,24,-65,-65,40,40,4242.982658,4309.27255,4242.982658,4243.394356,34.79225,31.97125,13.961084,-0.048574,41.286801,42.357765,162.995797,0.573039,0.019273,0
-81,-81,25,24,-65,-64,40,40,4244.026771,4278.717711,4244.026771,4244.47,34.792306,31.971255,13.980357,-0.048641,42.495548,42.434201,162.807724,0.572212,0.019273,0
-81,-82,24,24,-66,-65,40,40,4245.118139,4242.900361,4245.118139,4238.981624,34.792433,31.97134,13.99963,-0.048708,41.689498,42.350789,162.619486,0.571378,0.019273,0
-79,-81,23,24,-67,-65,40,39,4246.256918,4252.140453,4246.256918,4247.414958,34.792573,31.971298,14.018903,-0.048775,40.943636,42.377684,162.431088,0.570538,0.019273,0
-80,-82,24,24,-65,-65,40,40,4247.443258,4263.803625,4247.443258,4251.337885,34.792793,31.97132,14.038176,-0.048842,41.577388,42.429091,162.242534,0.569691,0.019273,0
-81,-81,24,24,-66,-65,40,39,4248.677311,4228.970864,4248.677311,4249.403159,34.792951,31.971381,14.057449,-0.048909,41.868155,41.980642,162.053829,0.568838,0.019273,0
-82,-81,24,24,-65,-66,40,40,4249.959227,4286.977976,4249.959227,4255.426787,34.793092,31.971363,14.076722,-0.048976,42.240638,41.899701,161.864977,0.567978,0.019273,0
-81,-80,23,24,-65,-65,40,40,4251.289153,4233.401803,4251.289153,4249.824234,34.793131,31.971427,14.095995,-0.049043,42.256475,42.118718,161.675982,0.567111,0.019273,0
-81,-81,23,24,-65,-65,40,40,4252.667237,4257.898167,4252.667237,4256.955442,34.793391,31.971433,14.115268,-0.04911,42.05942,41.992307,161.48685,0.566238,0.019273,0
-82,-81,24,24,-64,-65,40,40,4254.093622,4231.506701,4254.093622,4250.795501,34.793488,31.971519,14.134541,-0.049177,41.937449,41.973299,161.297584,0.565358,0.019273,0
-82,-81,24,24,-64,-66,40,39,4255.568453,4254.96039,4255.568453,4252.92561,34.793634,31.971541,14.153814,-0.049244,41.609209,41.972325,161.108189,0.564472,0.019273,0
-81,-80,24,24,-65,-66,41,39,4257.09187,4380.446565,4257.09187,4249.286126,34.793686,31.971591,14.173087,-0.049311,42.277983,41.825887,160.91867,0.563579,0.019273,0
-81,-81,24,24,-64,-65,40,40,4258.664014,4178.150097,4258.664014,4262.428791,34.793998,31.971558,14.19236,-0.049378,41.833316,41.792176,160.729031,0.56268,0.019273,0
-82,-79,23,24,-66,-64,40,41,4260.285024,4279.075529,4260.285024,4254.451339,34.794078,31.971658,14.211633,-0.049446,41.373275,41.818544,160.539277,0.561775,0.019273,0
-81,-82,22,23,-65,-65,39,40,4261.955036,4313.049508,4261.955036,4266.292974,34.794282,31.971606,14.230906,-0.049513,41.993404,41.836488,160.349412,0.560863,0.019273,0
